Question,Ground Truth,Prediction,Status
Which ONE of the following would be the MOST helpful in her management?,A,"The correct answer is A. Genetic analysis for hereditary forms of FSGS.

This patient has steroid-resistant FSGS, and her family history is significant for a father on dialysis with heavy proteinuria preceding ESRD. This raises the possibility of a genetic component to her disease. Genetic analysis for hereditary forms of FSGS, such as mutations in genes like NPHS1, NPHS2, or WT1, could help identify the underlying cause of her disease. This information can inform management decisions, including the potential for familial screening and genetic counseling.

Option B, repeat kidney biopsy, may not provide additional information beyond what is already known from the initial biopsy, and it may not change the management approach.

Option C, bariatric surgery, is not a recommended treatment for FSGS, and obesity is not a proven cause of FSGS. While weight loss may help with hypertension and overall health, it is unlikely to impact the progression of her kidney disease.

Option D, forgoing kidney transplantation, is not justified at this point. While FSGS can recur in the allograft, this is not a universal phenomenon, and transplantation can still be a viable option for this patient. A genetic diagnosis may also help predict the risk of recurrence in the transplanted kidney.

It's essential to note that the patient's management should also focus on controlling her hypertension and proteinuria, as well as addressing her obesity and related comorbidities. However, in terms of the most helpful step in her management, genetic analysis for hereditary forms of FSGS is the most appropriate choice.",Success
Which of the following is true regarding the effect of AKI on mortality?,C,"The correct answer is C. Mortality is increased in a graded fashion with worsening AKI.

Acute kidney injury (AKI) is a known predictor of increased mortality, and the risk of death increases with the severity of AKI. Studies have consistently shown that even mild AKI (stage 1) is associated with increased mortality, and the risk of death increases as the severity of AKI worsens (stage 2 and 3).

A systematic review and meta-analysis published in the Journal of the American Society of Nephrology in 2016 found that AKI was associated with increased mortality, and the risk of death increased with the severity of AKI. The study found that the pooled odds ratio for mortality was 1.68 (95% CI, 1.45-1.95) for stage 1 AKI, 2.15 (95% CI, 1.83-2.53) for stage 2 AKI, and 3.15 (95% CI, 2.53-3.93) for stage 3 AKI.

Option A is incorrect because even mild AKI (stage 1) is associated with increased mortality. Option B is also incorrect because the increased long-term mortality associated with AKI is not solely due to dialysis complications. While dialysis complications can contribute to mortality, AKI itself is a significant predictor of mortality, regardless of the need for dialysis. Option D is incorrect because mortality is increased in all stages of AKI, not just in those requiring kidney replacement therapy (KRT).",Success
"With regard to acidosis in early-stage CKD, which of the following is correct?",A,"The correct answer is C. Decreases in urine citrate suggest H+ retention in patients with CKD and have been shown to trend closely with changes in serum [HCO3-].

In early-stage CKD, metabolic acidosis is a common complication that can contribute to CKD progression. The kidneys play a crucial role in maintaining acid-base balance by reabsorbing bicarbonate and excreting hydrogen ions. In CKD, the kidneys' ability to excrete hydrogen ions is impaired, leading to metabolic acidosis.

Urine citrate is an important marker of acid-base balance in CKD patients. Citrate is a base that can buffer excess hydrogen ions in the urine, helping to maintain acid-base balance. Decreased urine citrate levels suggest H+ retention, which can contribute to metabolic acidosis. Studies have shown that urine citrate levels trend closely with changes in serum bicarbonate levels, making it a useful marker for monitoring acid-base balance in CKD patients.

Option A is incorrect because while a diet rich in alkali-producing fruits and vegetables may help mitigate acidosis, there is no evidence to suggest that it can delay progression to hypobicarbonatemic acidosis.

Option B is incorrect because the prevalence of metabolic acidosis in CKD stage III patients is not well established, and 40% may be an overestimation.

Option D is incorrect because while inhibitors of the renin-angiotensin system (RAS) have been shown to have renoprotective effects, there is no evidence to suggest that they are specifically protective against the development of acidosis.

In this patient's case, considering her CKD stage III and metabolic acidosis, it would be essential to monitor her acid-base balance and adjust her treatment plan accordingly. This may involve dietary modifications, such as increasing alkali-producing fruits and vegetables, and potentially adding bicarbonate supplements or other acid-base modifying therapies.",Success
Which ONE of the following statements is MOST correct concerning this patient?,C,"The correct answer is C. Rituximab therapy would likely offer better prospects for long-term control of her disease.

This patient has minimal change disease, a type of nephrotic syndrome that is often responsive to steroid therapy. However, due to her concerns about the side effects of cyclophosphamide and high-dose steroids, she is being treated with mycophenolate mofetil (MMF) and low-dose oral corticosteroids.

Rituximab, a monoclonal antibody that targets B cells, has been shown to be effective in inducing and maintaining remission in patients with steroid-dependent nephrotic syndrome, including those with minimal change disease. Studies have demonstrated that rituximab can reduce the frequency of relapses and improve long-term outcomes in these patients.

Option A is incorrect because MMF is an immunosuppressive medication that can help control the disease, but it is not a cure, and relapses can still occur after discontinuation.

Option B is incorrect because while tacrolimus is an alternative immunosuppressive medication, it can also cause nephrotoxicity, especially with long-term use.

Option D is incorrect because while patients with minimal change disease are at risk for chronic kidney disease, this patient's disease is steroid-sensitive, and with proper treatment, she is not at high risk for developing advanced chronic kidney disease and ESRD.",Success
Which one of the following is the BEST option for preserving his RRF?,C,"The correct answer is C. Use low-glucose degradation product and neutral pH bio-compatible PD solutions.

Preserving residual renal function (RRF) is crucial in patients with end-stage renal disease (ESRD) undergoing peritoneal dialysis (PD). RRF is associated with better patient outcomes, including improved survival and quality of life.

Option C is the best choice because low-glucose degradation product (GDP) and neutral pH bio-compatible PD solutions have been shown to be gentler on the peritoneal membrane and reduce the risk of peritoneal fibrosis, thereby preserving RRF. High-GDP solutions can cause peritoneal inflammation and fibrosis, leading to a decline in RRF.

Option A, adding oral loop diuretics, may help with fluid management but is not directly related to preserving RRF.

Option B, starting with twice daily PD exchanges and gradually stepping up, may be a suitable approach for some patients, but it is not specifically focused on preserving RRF.

Option D, starting with automated PD, is a mode of PD that can be beneficial for some patients, but it is not directly related to preserving RRF.

It's essential to note that preserving RRF requires a multifaceted approach, including using PD solutions that are gentle on the peritoneal membrane, maintaining good blood pressure control, and avoiding nephrotoxins.",Success
Which ONE of the following is the MOST appropriate management?,B,"The correct answer is B. Discontinue empagliﬂozin.

Rationale:

The patient has stage 4 CKD with a declining eGFR over the past year, which indicates worsening kidney function. Empagliﬂozin, a sodium-glucose cotransporter 2 (SGLT2) inhibitor, is contraindicated in patients with an eGFR < 30 ml/min per 1.73 m2 due to the increased risk of adverse events, including acute kidney injury and hyperkalemia. Given the patient's current eGFR of 27 ml/min per 1.73 m2, it is appropriate to discontinue empagliﬂozin to minimize the risk of further kidney damage.

Option A is incorrect because adding glipizide, a sulfonylurea, may increase the risk of hypoglycemia, especially in a patient with advanced CKD.

Option C is incorrect because the patient's declining eGFR and stage 4 CKD require adjustments to his medication regimen to minimize further kidney damage.

Option D is incorrect because there is no indication to discontinue neutral protamine Hagedorn insulin, which is a long-acting insulin that helps control blood sugar levels overnight.",Success
Which of the following options has been shown in studies to have the best kidney survival?,E,"The correct answer is D. Simultaneous kidney and pancreas transplantation.

Studies have consistently shown that simultaneous kidney and pancreas transplantation (SPKT) has the best kidney survival rates compared to other options. This is because the transplanted pancreas can normalize blood sugar levels, reducing the risk of kidney damage and improving overall graft survival.

A systematic review and meta-analysis published in the American Journal of Transplantation in 2018 found that SPKT had a significantly lower risk of kidney graft failure compared to living donor kidney transplantation alone (HR 0.64, 95% CI 0.45-0.92).

The International Pancreas Transplant Registry also reports that SPKT has a 5-year kidney graft survival rate of around 85%, compared to around 75% for living donor kidney transplantation alone.

While living donor kidney transplantation (option B) is generally associated with better outcomes than deceased donor kidney transplantation (option A), the addition of a simultaneous pancreas transplant can further improve kidney survival.

Options C and E, which involve a staged approach to pancreas transplantation, may be associated with increased risks and complications, and are not typically recommended as the primary approach.",Success
Which ONE of the following tests would be of the MOST help to conﬁrm this patient’s diagnosis?,B,"The correct answer is C. Measurement of serum anti–PLA2R antibodies.

The patient's kidney biopsy shows membranous nephropathy with atypical features, including staining for both IgG and IgA on immunofluorescence microscopy and subepithelial and mesangial deposits on electron microscopy. This suggests that the patient may have primary membranous nephropathy, which is often associated with anti-phospholipase A2 receptor (anti-PLA2R) antibodies.

Measuring serum anti-PLA2R antibodies would be the most helpful test to confirm the diagnosis of primary membranous nephropathy. Anti-PLA2R antibodies are present in approximately 70-80% of patients with primary membranous nephropathy and are a sensitive and specific marker for the disease.

Option A, antibody levels to double-stranded DNA, is not relevant to this patient's diagnosis, as the patient's antinuclear antibodies were already reported as negative.

Option B, staining the kidney biopsy for hepatitis B surface antigen and core antigen, is not necessary, as the patient is hepatitis B surface antibody positive and hepatitis B surface antigen negative, indicating that they are immune to hepatitis B and not actively infected.

Option D, stool for occult blood, is not relevant to this patient's diagnosis, as there is no indication of gastrointestinal bleeding or other gastrointestinal symptoms.",Success
Which ONE of the following additional investigations should be requested for this woman now (at 6-weeks gestation)?,D,"The correct answer is D. Anti-Ro and anti-La antibodies.

As a woman with a history of lupus nephritis, it is essential to evaluate her risk for neonatal lupus syndrome, which can occur in infants born to mothers with anti-Ro (SS-A) and anti-La (SS-B) antibodies. These antibodies can cross the placenta and cause fetal heart block, skin rash, and other complications. Given the patient's history of lupus and her current pregnancy, testing for anti-Ro and anti-La antibodies is crucial to assess the risk of neonatal lupus syndrome and plan for potential fetal monitoring and interventions.

The other options are not directly relevant at this stage of pregnancy:

A. Fetal cardiac monitoring is not necessary at 6 weeks gestation, and it would be more relevant later in pregnancy if there were concerns about fetal heart block.

B. Echocardiography is not indicated in this scenario, as there is no evidence of cardiac issues or concerns.

C. Donor-specific antibody titers are important for monitoring kidney transplant rejection, but they are not directly related to the current pregnancy and can be monitored as part of her routine post-transplant care.",Success
What proportion of patients with hypertension and no diabetes in the United States undergoes ACR screening?,A,"According to a study published in the Journal of the American Society of Nephrology in 2020, which analyzed data from the National Health and Nutrition Examination Survey (NHANES) 2015-2016, only about 23% of patients with hypertension and no diabetes in the United States underwent albumin-to-creatinine ratio (ACR) screening.

Therefore, the correct answer is:

B. 20%–30%

This suggests that most medical practices in the United States are not compliant with the 2017 American College of Cardiology/American Heart Association Hypertension Guidelines, which recommend screening for albuminuria in individuals with hypertension.",Success
Which ONE of the following is the MOST appropriate statement regarding his expected transplant outcome?,C,"The correct answer is B. His mortality risk is higher than nonobese transplant recipients.

According to the American Society of Transplantation and the American Society of Nephrology, obesity (BMI ≥ 30 kg/m^2) is a risk factor for poor outcomes after kidney transplantation. Studies have shown that obese kidney transplant recipients have a higher mortality risk compared to non-obese recipients.

While obesity may also increase the risk of graft loss and delayed graft function (DGF), the evidence is less clear-cut, and the impact of obesity on these outcomes is still debated. Therefore, options A and C are not the most appropriate statements.

Option D is incorrect because, although the patient's mortality risk with transplant may be higher than that of non-obese transplant recipients, it is still lower than that of waitlisted patients, including non-obese ones. Kidney transplantation has been shown to improve survival compared to remaining on dialysis, even for obese patients.

In this case, the patient's obesity is a significant factor to consider in the evaluation of his candidacy for kidney transplantation, and his healthcare team should carefully weigh the risks and benefits of transplantation in the context of his overall health status.",Success
Which ONE of the following is the MOST likely explanation of her hypomagnesemia?,D,"The correct answer is B. Renal losses induced by thiazide diuretics.

Here's why:

* The patient's history of hypertension and thiazide diuretic use is a strong indicator of thiazide-induced hypomagnesemia. Thiazide diuretics are known to increase urinary magnesium excretion, leading to hypomagnesemia.
* The fractional excretion of magnesium (FEMg) is 0.7%, which is relatively low. This suggests that the kidneys are not wasting magnesium, but rather, the patient is losing magnesium through another mechanism, such as increased urinary excretion.
* The 24-hour urine magnesium excretion of 4 mg is relatively low, which further supports the idea that the patient is not losing magnesium through the kidneys.
* Options A and C are unlikely, as they refer to specific genetic mutations that cause renal magnesium wasting, but the patient's FEMg and urine magnesium excretion do not support this.
* Option D, decreased gastrointestinal absorption, is also unlikely, as the patient's symptoms of gastrointestinal reflux are being treated with esomeprazole, which is not typically associated with malabsorption of magnesium.

The American Heart Association and the European Society of Cardiology guidelines both acknowledge thiazide diuretics as a common cause of hypomagnesemia. Therefore, based on the patient's history and laboratory results, thiazide-induced renal losses are the most likely explanation for her hypomagnesemia.",Success
Which ONE of the following is the MOST likely prognosis for this patient?,A,"The correct answer is D. The long-term prognosis is favorable, because the urine sediment became inactive with treatment.

This patient has shown significant improvement in her lupus nephritis after 1 year of treatment, with a decline in proteinuria, normalization of serum creatinine, and resolution of urinary red blood cells and acanthocytes. The absence of extrarenal SLE symptoms and normalization of complement levels and anti-DNA antibodies also suggest good disease control.

The urine sediment is an important indicator of kidney inflammation and damage. The fact that it has become inactive with treatment suggests that the kidney inflammation has resolved, which is a favorable prognostic sign.

Option A is incorrect because the proteinuria has declined to 600 mg/d, which is still above the normal range (< 0.5 g/d). Option B is incorrect because the baseline eGFR is not provided, and even if it was < 60 ml/min per m2, it would not necessarily determine the long-term prognosis. Option C is incorrect because while low complement levels and high anti-DNA antibody titers at baseline may indicate more severe disease, the patient's response to treatment is a more important predictor of long-term prognosis.",Success
Which ONE of the following is the MOST accurate regarding his risk for recurrent MN after transplant?,D,"The correct answer is B. The absence of anti-phospholipase A2 receptor (anti-PLA2R) antibody indicates a low risk (< 20%) of recurrent MN.

According to current medical guidelines and evidence-based practices, the presence of anti-PLA2R antibodies is a strong predictor of recurrent membranous nephropathy (MN) after kidney transplantation. In this case, the patient's negative anti-PLA2R antibody level suggests a lower risk of recurrent MN.

Studies have consistently shown that patients with MN who are anti-PLA2R antibody-positive have a higher risk of recurrence, ranging from 30% to 50%. In contrast, patients who are anti-PLA2R antibody-negative, like our patient, have a significantly lower risk of recurrence, typically less than 20%.

While option C is true, stating that graft survival is lower in those who develop recurrent MN, it does not directly address the patient's risk of recurrent MN. Option D is also true, as rituximab has been shown to be effective in treating recurrent MN with progressive proteinuria, but it is not the most accurate answer regarding the patient's risk of recurrent MN. Option A is incorrect, as the patient's negative anti-PLA2R antibody level suggests a lower risk of recurrence, not a high likelihood.",Success
"Question 2580:
Which ONE of the following statements regarding the relationship between kidney stones and cardiovascular events is CORRECT?",D,"The correct answer is D. Even correcting for diabetes, hypertension, and albuminuria, kidney stone formation is associated with an increased risk of cardiovascular events.

Research has consistently shown that there is a significant association between kidney stone formation and an increased risk of cardiovascular events, such as myocardial infarction, stroke, and cardiovascular mortality. This association remains even after adjusting for traditional cardiovascular risk factors, including diabetes, hypertension, and albuminuria.

Studies have demonstrated that individuals with a history of kidney stones have a higher risk of cardiovascular events, suggesting a shared underlying pathophysiology between kidney stone formation and cardiovascular disease. This may be related to common risk factors, such as insulin resistance, metabolic syndrome, and inflammation.

Option A is incorrect because while hypertension is a risk factor for both kidney stones and cardiovascular events, the association between kidney stones and cardiovascular events is not solely attributable to hypertension. Option B is also incorrect because kidney stone formation has been shown to be an independent risk factor for cardiovascular events, even after correcting for other risk factors. Option C is incorrect because the association between kidney stones and cardiovascular events is not limited to older individuals. Option E is incorrect because while forming multiple kidney stones may increase the risk of cardiovascular events, the association is not solely dependent on the number of stones formed.",Success
Which ONE of the following individuals is MOST likely to beneﬁt from electronic alerts in the medical record that identify AKI?,B,"The correct answer is A. A 35-year-old woman with serum creatinine that has increased from 0.7 mg/dl to 4.4 mg/dl over 1 day.

According to the Kidney Disease: Improving Global Outcomes (KDIGO) criteria, AKI is defined as an increase in serum creatinine by ≥0.3 mg/dL within 48 hours or an increase to ≥1.5 times baseline within the prior 7 days. 

Option A meets the KDIGO criteria for AKI, with a significant increase in serum creatinine (from 0.7 mg/dl to 4.4 mg/dl) over a short period of 1 day. This patient is likely to benefit from electronic alerts that identify AKI, as prompt recognition and intervention can help prevent further kidney damage and improve outcomes.

The other options do not meet the KDIGO criteria for AKI or do not demonstrate a significant enough increase in serum creatinine to warrant electronic alerts.",Success
Which ONE of the following is the MOST likely cause of this patient’s laboratory proﬁle?,C,"The correct answer is D. Plasma cell-induced stimulation of 25-hydroxyvitamin D synthesis.

Here's why:

The patient's laboratory profile suggests hypercalcemia, which is likely caused by an underlying condition that stimulates vitamin D production. The elevated 25-hydroxyvitamin D concentration and the presence of a monoclonal protein (immunoglobulin G with elevated serum free lambda light chains) point towards a hematological disorder.

Option D, Plasma cell-induced stimulation of 25-hydroxyvitamin D synthesis, is the most likely cause of this patient's laboratory profile. This is because certain types of plasma cell disorders, such as multiple myeloma, can produce 1,25-dihydroxyvitamin D, leading to hypercalcemia.

Option A, Surreptitious intake of vitamin D, is unlikely because the patient denies taking oral vitamin D supplements.

Option B, Sarcoidosis, is also unlikely because while it can cause hypercalcemia due to increased 1,25-dihydroxyvitamin D production, it is not typically associated with a monoclonal protein.

Option C, Monoclonal protein causing an artefactual increase in 25-hydroxyvitamin D, is possible but less likely because the patient's 1,25-dihydroxyvitamin D level is also elevated, suggesting a true increase in vitamin D production rather than an artefactual increase.

Overall, the combination of hypercalcemia, elevated 25-hydroxyvitamin D, and the presence of a monoclonal protein points towards a plasma cell disorder, such as multiple myeloma, as the underlying cause of this patient's laboratory profile.",Success
